#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 200000      4.05e-02    4.02e-02      8.34e-05    3.14e-04      1.54e-02    1.53e-02    5.9e-06
 201000      3.78e-02    4.26e-02      4.48e-04    1.84e-04      1.43e-02    1.62e-02    5.9e-06
 202000      3.96e-02    4.11e-02      3.94e-04    6.25e-04      1.50e-02    1.55e-02    5.9e-06
 203000      4.10e-02    4.34e-02      3.19e-04    5.69e-04      1.55e-02    1.64e-02    5.9e-06
 204000      4.08e-02    3.88e-02      3.02e-04    4.83e-04      1.55e-02    1.47e-02    5.9e-06
 205000      3.83e-02    3.74e-02      9.47e-05    2.95e-04      1.54e-02    1.50e-02    5.2e-06
 206000      4.10e-02    3.85e-02      5.49e-04    9.65e-04      1.64e-02    1.52e-02    5.2e-06
 207000      3.90e-02    4.02e-02      1.77e-04    2.51e-04      1.57e-02    1.61e-02    5.2e-06
 208000      4.18e-02    4.13e-02      4.19e-05    6.02e-04      1.68e-02    1.65e-02    5.2e-06
 209000      3.77e-02    3.85e-02      3.71e-04    6.16e-04      1.51e-02    1.53e-02    5.2e-06
 210000      4.04e-02    3.85e-02      9.37e-04    1.85e-04      1.68e-02    1.63e-02    4.6e-06
 211000      3.57e-02    4.08e-02      1.07e-04    9.74e-05      1.51e-02    1.73e-02    4.6e-06
 212000      4.06e-02    4.22e-02      3.74e-04    3.55e-04      1.72e-02    1.78e-02    4.6e-06
 213000      3.37e-02    3.57e-02      4.40e-04    4.28e-04      1.42e-02    1.50e-02    4.6e-06
 214000      4.50e-02    3.56e-02      1.95e-04    1.66e-04      1.91e-02    1.50e-02    4.6e-06
 215000      3.73e-02    3.71e-02      6.22e-04    4.17e-05      1.65e-02    1.66e-02    4.0e-06
 216000      3.63e-02    3.47e-02      8.09e-04    6.91e-04      1.59e-02    1.53e-02    4.0e-06
 217000      3.87e-02    3.41e-02      4.68e-04    1.90e-05      1.72e-02    1.52e-02    4.0e-06
 218000      3.58e-02    3.62e-02      1.41e-04    9.35e-05      1.60e-02    1.61e-02    4.0e-06
 219000      3.41e-02    3.46e-02      4.90e-04    6.78e-04      1.51e-02    1.52e-02    4.0e-06
 220000      3.18e-02    3.51e-02      1.38e-04    3.01e-05      1.49e-02    1.65e-02    3.5e-06
 221000      3.58e-02    3.25e-02      4.85e-04    3.37e-04      1.67e-02    1.52e-02    3.5e-06
 222000      3.36e-02    3.08e-02      1.24e-05    2.86e-04      1.58e-02    1.44e-02    3.5e-06
 223000      3.36e-02    3.27e-02      6.90e-04    3.71e-04      1.56e-02    1.53e-02    3.5e-06
 224000      3.39e-02    3.32e-02      3.27e-04    6.01e-04      1.58e-02    1.54e-02    3.5e-06
 225000      3.15e-02    3.22e-02      6.56e-04    7.67e-04      1.53e-02    1.56e-02    3.1e-06
 226000      3.46e-02    3.30e-02      7.80e-04    5.41e-04      1.68e-02    1.61e-02    3.1e-06
 227000      2.79e-02    2.82e-02      5.21e-04    5.35e-04      1.36e-02    1.37e-02    3.1e-06
 228000      3.18e-02    3.06e-02      4.51e-04    1.44e-04      1.56e-02    1.51e-02    3.1e-06
 229000      3.31e-02    3.07e-02      1.17e-03    2.95e-05      1.56e-02    1.51e-02    3.1e-06
 230000      2.96e-02    3.02e-02      7.14e-05    4.18e-04      1.53e-02    1.55e-02    2.7e-06
 231000      2.90e-02    2.96e-02      2.08e-04    1.09e-04      1.50e-02    1.53e-02    2.7e-06
 232000      3.02e-02    2.97e-02      2.36e-04    6.06e-05      1.56e-02    1.54e-02    2.7e-06
 233000      3.24e-02    2.99e-02      8.81e-04    6.47e-04      1.63e-02    1.52e-02    2.7e-06
 234000      2.95e-02    3.08e-02      5.53e-04    6.73e-04      1.51e-02    1.57e-02    2.7e-06
 235000      2.75e-02    2.69e-02      5.84e-04    1.22e-06      1.47e-02    1.46e-02    2.4e-06
 236000      2.90e-02    3.08e-02      4.16e-04    1.74e-04      1.56e-02    1.67e-02    2.4e-06
 237000      2.91e-02    3.08e-02      9.21e-05    3.61e-04      1.57e-02    1.66e-02    2.4e-06
 238000      2.65e-02    3.21e-02      6.87e-04    4.82e-04      1.40e-02    1.72e-02    2.4e-06
 239000      2.83e-02    2.73e-02      5.03e-04    8.97e-04      1.51e-02    1.43e-02    2.4e-06
 240000      2.82e-02    2.78e-02      4.53e-04    4.88e-04      1.58e-02    1.56e-02    2.1e-06
 241000      2.75e-02    2.52e-02      5.68e-04    1.09e-04      1.54e-02    1.43e-02    2.1e-06
 242000      2.59e-02    2.72e-02      3.84e-04    6.34e-04      1.46e-02    1.51e-02    2.1e-06
 243000      2.58e-02    3.08e-02      5.23e-04    5.80e-04      1.44e-02    1.73e-02    2.1e-06
 244000      2.87e-02    2.76e-02      8.20e-05    5.48e-04      1.63e-02    1.54e-02    2.1e-06
 245000      2.79e-02    2.58e-02      2.55e-04    8.14e-05      1.65e-02    1.52e-02    1.9e-06
 246000      2.69e-02    2.74e-02      2.04e-04    9.71e-05      1.59e-02    1.62e-02    1.9e-06
 247000      2.56e-02    2.57e-02      6.17e-04    4.16e-04      1.48e-02    1.51e-02    1.9e-06
 248000      2.61e-02    2.69e-02      1.08e-04    8.94e-04      1.54e-02    1.53e-02    1.9e-06
 249000      2.66e-02    2.77e-02      1.77e-04    1.78e-04      1.57e-02    1.63e-02    1.9e-06
 250000      2.65e-02    2.65e-02      6.03e-04    4.00e-04      1.60e-02    1.62e-02    1.6e-06
 251000      2.36e-02    2.49e-02      6.34e-04    2.01e-04      1.42e-02    1.53e-02    1.6e-06
 252000      2.60e-02    2.29e-02      7.68e-05    1.68e-04      1.60e-02    1.40e-02    1.6e-06
 253000      2.45e-02    2.30e-02      3.15e-05    1.69e-05      1.51e-02    1.41e-02    1.6e-06
 254000      2.61e-02    2.60e-02      3.76e-04    1.10e-04      1.60e-02    1.60e-02    1.6e-06
 255000      2.42e-02    2.41e-02      4.53e-04    8.37e-05      1.53e-02    1.54e-02    1.4e-06
 256000      2.49e-02    2.47e-02      6.12e-04    5.83e-04      1.56e-02    1.55e-02    1.4e-06
 257000      2.31e-02    2.57e-02      9.73e-06    3.77e-04      1.48e-02    1.64e-02    1.4e-06
